Mapa: 622225 Veículo: BKU2E95
Produtos: 457
Lado Motorista: 2034.34 (53.10%)
Lado Ajudante: 1797.05 (46.90%)
Cálculo Rota
--------------------------------------------------------------------------------------------------------------------------------------------
Pallet        L      Código UN  Entrega Nome                                            Qtd Embalagem Grp/Sub       Peso Atributo        Ocupação   
-----------   - ----------- -- -------- ------------------------------------------ -------- --------- ------- ---------- ------------- ----------- 

P01_A_01_1/35 - 32.63 - 14|13|12 - 3141  Peso: 778.69
            |============================ Produtos da área de separação: Geral ===================================================================|
            | 0       24819         ORIGINAL 300ML                                       31 1002 10/1002         421.60 Retornavel          18.08 | 
            | 0       972           Skol 300ML GFA                                       22 1002 10/1002         299.20 Retornavel          12.22 | 
            | 0       29700         BUDWEISER 300ML                                       3 1002 10/1002          43.50 Retornavel           1.75 | 
            | 0       26754         BRAHMA DUPLO MALTE 300ML                              1 1002 10/1002          14.40 Retornavel           0.58 | 
            |                                                                                                                                     |
            |=====================================================================================================================================|

P01_M_01_1/35 - 34.83 - 19|16|20|13|5|3|24|7|17|4|1 - 48191  Peso: 1042.67
            |============================ Produtos da área de separação: Geral ===================================================================|
            | 0       1745          Skol LT 269ML C15                                    42 4002 40/4002         176.40 Descartável          5.90 | 
            | 0       33324         ORIGINAL LT 269ML SH C 15 MULTPACK                   41 4002 40/4002         172.20 Descartável          5.67 | 
            | 0       13839         BUD LT 269ML CX C/8 FRIDGE PACK                      23 4002 40/4002          51.06 Descartável          1.85 | 
            | 0       9084          GUARANA LATA 350 ML C/12 NPAL                        12 4002 40/4002          54.60 Descartável          1.76 | 
            | 0       9068          SKOL LATA 350ML SH C/12 NPAL                         12 4002 40/4002          54.00 Descartável          1.59 | 
            | 0       19310         ORIGINAL LT 350ML CX CARTAO C/12 NPAL                10 4002 40/4002          45.20 Descartável          1.47 | 
            | 0       1898          BRAHMA CHOPP LT 269ML SH C15 NPAL                    10 4002 40/4002          42.00 Descartável          1.40 | 
            | 0       18856         MULTPACK 15 SKOL LT 269ML SH C/15                    10 4002 40/4002          43.00 Descartável          1.38 | 
            | 0       34137         BUDWEISER LT 269ML SH C 15 MULTPACK                  10 4002 40/4002          42.00 Descartável          1.38 | 
            | 0       17678         SKOL LATA 350ML SH C/18 NPAL MULTPACK                 6 4002 40/4002          40.44 Descartável          1.28 | 
            | 0       20603         ORIGINAL LT 269ML CX CARTAO C/8 NPAL                 13 4002 40/4002          29.12 Descartável          1.05 | 
            | 0       20647         BRAHMA DUPLO MALTE LT 269ML SH C15 NPAL               5 4002 40/4002          21.00 Descartável          0.70 | 
            | 0       9069          BRAHMA CHOPP LATA 350 SH C/12                         4 4002 40/4002          18.00 Descartável          0.58 | 
            | 0       32498         STELLA ARTOIS PURE GOLD LT 269ML CX CARTAO            5 4002 40/4002          11.10 Descartável          0.40 | 
            | 0       13566         SKOL BEATS SENSES LT 269ML CX C/8 FRIDGE P            4 4002 40/4002           8.92 Descartável          0.32 | 
            | 0       9067          ANTARCTICA PILSEN LATA 350ML SH C/12 NPAL             2 4002 40/4002           8.98 Descartável          0.29 | 
            | 0       9088          DIET SODA LIMONADA ANTARCT LT350MLSHC/12              2 4002 40/4002           8.98 Descartável          0.29 | 
            | 0       9092          TONICA ANTARCTICA DIET LATA 350ML SH C/12             2 4002 40/4002           8.98 Descartável          0.29 | 
            | 0       12948         BRAHMA ZERO LATA SHRINK 350                           2 4002 40/4002           8.98 Descartável          0.29 | 
            | 0       26204         SPATEN LT 269ML CX CARTAO C/8 NPAL                    3 4002 40/4002           6.66 Descartável          0.24 | 
