Mapa: 621633 Veículo: ECT3D21
Produtos: 206
Lado Motorista: 999.31 (54.59%)
Lado Ajudante: 831.19 (45.41%)
Cálculo Rota
--------------------------------------------------------------------------------------------------------------------------------------------
Pallet        L      Código UN  Entrega Nome                                            Qtd Embalagem Grp/Sub       Peso Atributo        Ocupação   
-----------   - ----------- -- -------- ------------------------------------------ -------- --------- ------- ---------- ------------- ----------- 

P01_A_01_1/35 - 18.00 - 8|7 - 7034  Peso: 496.92
            |============================ Produtos da área de separação: Geral ===================================================================|
            | 0       2546          ORIGINAL 600ML GFA                                   12 1001 10/1001         331.20 Retornavel          12.00 | 
            | 0       982           SKOL 600ML GFA                                        4 1001 10/1001         110.52 Retornavel           4.00 | 
            | 0       988           BRAHMA CHOPP 600ML GFA                                2 1001 10/1001          55.20 Retornavel           2.00 | 
            |                                                                                                                                     |
            |=====================================================================================================================================|

P01_M_01_1/35 - 31.32 - 2|7|8|5 - 35619  Peso: 759.81
            |============================ Produtos da área de separação: Geral ===================================================================|
            | 0       1388          SKOL GFA VD 1L 2 99                                  13 1000 10/1000         274.30 Retornavel          11.37 | 
            | 0       1695          Brahma Chopp GFA 1L                                   3 1000 10/1000          63.30 Retornavel           2.62 | 
            | 0       1743          ANTARCTICA PILSEN GFA VD 1L COM TTC                   3 1000 10/1000          67.71 Retornavel           2.62 | 
            | 0       972           Skol 300ML GFA                                       16 1002 10/1002         217.60 Retornavel           8.88 | 
            | 0       24819         ORIGINAL 300ML                                        9 1002 10/1002         122.40 Retornavel           5.25 | 
            | 0       29700         BUDWEISER 300ML                                       1 1002 10/1002          14.50 Retornavel           0.58 | 
            |                                                                                                                                     |
            |=====================================================================================================================================|

P02_A_02_1/35 - 11.18 - 6|7|3|1 - 42201  Peso: 334.27
            |============================ Produtos da área de separação: Geral ===================================================================|
            | 0       20603         ORIGINAL LT 269ML CX CARTAO C/8 NPAL                 37 4002 40/4002          82.88 Descartável          2.99 | 
            | 0       9068          SKOL LATA 350ML SH C/12 NPAL                         15 4002 40/4002          67.50 Descartável          1.98 | 
            | 0       1745          Skol LT 269ML C15                                    12 4002 40/4002          50.40 Descartável          1.68 | 
            | 0       9084          GUARANA LATA 350 ML C/12 NPAL                         4 4002 40/4002          18.20 Descartável          0.58 | 
            | 0       12948         BRAHMA ZERO LATA SHRINK 350                           3 4002 40/4002          13.47 Descartável          0.44 | 
            | 0       19310         ORIGINAL LT 350ML CX CARTAO C/12 NPAL                 3 4002 40/4002          13.56 Descartável          0.44 | 
            | 0       20647         BRAHMA DUPLO MALTE LT 269ML SH C15 NPAL               3 4002 40/4002          12.60 Descartável          0.42 | 
            | 0       1699          STELLA ARTOIS LT 269ML CX C/8 FRIDGE PACK             2 4002 40/4002           4.44 Descartável          0.19 | 
            | 0       9089          SUKITA LATA 350ML C12                                 1 4002 40/4002           4.52 Descartável          0.14 | 
