Id,GroupCombinationId,GroupCode,NewGroupCode
--,------------------,---------,------------
2,278cbe78-6fe0-478b-89d9-945c390d7495,60,NULL
3,67e0b444-d3bd-4a75-89b6-69658281dadd,10,NULL
9,7d502340-1583-483d-98d4-444bf2e2e935,40,NULL
11,169fc34b-310d-4a61-8682-9621623570cc,10,NULL
12,169fc34b-310d-4a61-8682-9621623570cc,20,NULL
13,169fc34b-310d-4a61-8682-9621623570cc,30,NULL
14,169fc34b-310d-4a61-8682-9621623570cc,50,NULL
15,169fc34b-310d-4a61-8682-9621623570cc,70,NULL
16,7d502340-1583-483d-98d4-444bf2e2e935,41,41
20,2b389d91-ad85-4163-8ce9-7ead9e0fdd78,90,90
21,e1547c69-93a6-4a55-b096-ead25883319c,71,71
23,b16560dd-a1fc-44ed-9923-84ceea6cc8c2,60,60
24,e1547c69-93a6-4a55-b096-ead25883319c,21,21
25,67e0b444-d3bd-4a75-89b6-69658281dadd,20,20
26,67e0b444-d3bd-4a75-89b6-69658281dadd,30,30
27,67e0b444-d3bd-4a75-89b6-69658281dadd,50,50
28,67e0b444-d3bd-4a75-89b6-69658281dadd,70,70
29,169fc34b-310d-4a61-8682-9621623570cc,51,51
30,e590ab1d-3346-456e-a235-494beedc2390,42,42
31,c9886fa6-b475-48f6-90d7-9775e51ff1ed,1,1
33,71c9b28a-c0b8-4c2a-9ed8-6e36ed71cd75,3,3
34,e0ffbf6d-6dee-46d6-8846-c6c07784e361,4,4
35,a02b0c2e-3b9c-4278-acc0-078ef5f0eb30,5,5
38,b207a6e9-1795-4b79-9cf6-10aec24ce4c1,3000,3000
39,ae7ef314-1661-442b-8efe-9835512f5eee,4000,4000
40,ae7ef314-1661-442b-8efe-9835512f5eee,6000,6000
42,4f8eebee-14bb-4c1c-a7ad-1bd406d01fff,2003,2003
43,e477c8e2-c921-493d-b46c-e21cf05fc2e9,7000,7000
45,71c9b28a-c0b8-4c2a-9ed8-6e36ed71cd75,2,2
47,e0ffbf6d-6dee-46d6-8846-c6c07784e361,8,8
48,e0ffbf6d-6dee-46d6-8846-c6c07784e361,6,6
49,02780047-dc61-47d3-889c-976fff0195b9,9999,9999
50,4f8eebee-14bb-4c1c-a7ad-1bd406d01fff,2000,2000
51,c88ea26c-c80e-401c-8484-81ff38cda75e,9999,9999
