Id,UnitsPerBox,BoxType
--,-----------,-------
51359,NULL,NULL
51364,NULL,NULL
51365,NULL,NULL
51366,NULL,NULL
51367,NULL,NULL
51368,NULL,NULL
51369,NULL,NULL
51370,NULL,NULL
51371,NULL,NULL
51372,NULL,NULL
51376,12,1
51377,NULL,NULL
51383,NULL,NULL
51384,NULL,NULL
51385,NULL,NULL
51386,NULL,NULL
51393,NULL,NULL
51396,12,1
51398,NULL,NULL
51399,12,1
51400,12,1
51401,NULL,NULL
51402,NULL,NULL
51403,NULL,NULL
51404,NULL,2
51406,NULL,NULL
51407,12,1
51408,12,1
51409,12,1
51414,NULL,NULL
51415,NULL,NULL
51416,NULL,NULL
51417,NULL,NULL
51418,NULL,NULL
51419,NULL,NULL
51420,NULL,NULL
51421,NULL,NULL
51422,NULL,NULL
51423,NULL,NULL
51424,NULL,NULL
51425,6,1
51428,NULL,2
51429,NULL,2
51432,NULL,NULL
51433,NULL,NULL
51436,NULL,2
51438,NULL,NULL
51439,NULL,NULL
51441,NULL,NULL
51443,NULL,NULL
51445,NULL,NULL
51447,NULL,NULL
51448,NULL,NULL
51449,NULL,NULL
51452,NULL,NULL
51455,NULL,NULL
51456,NULL,NULL
51460,NULL,NULL
51462,NULL,NULL
51464,NULL,NULL
51466,NULL,NULL
51467,NULL,NULL
51470,NULL,NULL
51471,NULL,NULL
51472,NULL,NULL
51473,NULL,NULL
51478,12,1
51480,NULL,NULL
51481,NULL,NULL
51482,NULL,NULL
51483,NULL,NULL
51484,NULL,NULL
51485,NULL,NULL
51488,NULL,NULL
51489,NULL,NULL
51490,NULL,NULL
51491,NULL,NULL
51492,NULL,NULL
51493,NULL,NULL
51496,NULL,NULL
51498,NULL,NULL
51499,NULL,NULL
51500,NULL,NULL
51501,NULL,NULL
51502,NULL,NULL
51504,NULL,NULL
51505,NULL,NULL
51506,NULL,NULL
51511,12,1
51512,NULL,NULL
51513,NULL,NULL
51514,NULL,NULL
51515,12,1
51517,NULL,NULL
51519,NULL,NULL
51520,NULL,NULL
51524,12,1
51530,NULL,NULL
51531,NULL,NULL
51532,NULL,NULL
51533,NULL,NULL
51535,NULL,NULL
51540,NULL,NULL
51542,12,1
51543,NULL,NULL
51546,NULL,NULL
51548,NULL,NULL
51552,NULL,NULL
51553,NULL,NULL
51555,NULL,NULL
51556,NULL,NULL
51557,NULL,NULL
51560,NULL,NULL
51562,NULL,NULL
51567,NULL,NULL
51570,NULL,NULL
51571,NULL,NULL
51573,NULL,NULL
51580,NULL,NULL
51581,NULL,NULL
51587,NULL,NULL
51590,NULL,NULL
51591,NULL,NULL
51594,NULL,NULL
51597,NULL,NULL
51600,NULL,NULL
51601,NULL,NULL
51602,NULL,NULL
51603,NULL,NULL
51604,12,1
51605,NULL,NULL
51606,NULL,NULL
51607,NULL,NULL
51610,NULL,NULL
51612,NULL,NULL
51613,12,1
51614,NULL,NULL
51615,NULL,NULL
51620,6,1
51621,6,1
51622,6,1
51623,6,1
51624,6,1
51625,6,1
51626,12,1
51627,6,1
51628,12,1
51629,6,1
51630,12,1
51631,NULL,NULL
51632,NULL,NULL
51638,NULL,NULL
51640,NULL,2
51643,NULL,NULL
51645,NULL,NULL
51646,NULL,NULL
51653,NULL,NULL
51656,NULL,NULL
51661,NULL,NULL
51662,NULL,NULL
51665,NULL,NULL
51666,NULL,NULL
51667,NULL,NULL
51668,NULL,NULL
51669,NULL,NULL
51684,NULL,NULL
51690,NULL,NULL
51691,NULL,NULL
51692,NULL,NULL
51693,NULL,NULL
51695,NULL,NULL
51697,NULL,NULL
51698,NULL,NULL
51699,NULL,NULL
51700,NULL,NULL
51701,NULL,NULL
51702,NULL,NULL
51703,NULL,NULL
51704,12,1
51706,NULL,NULL
51708,12,1
51709,NULL,NULL
51710,NULL,NULL
51711,NULL,NULL
51712,NULL,NULL
51713,12,1
51715,NULL,NULL
51717,NULL,NULL
51718,NULL,NULL
51720,NULL,NULL
51721,NULL,NULL
51722,NULL,NULL
51725,NULL,NULL
51726,NULL,NULL
51727,NULL,NULL
51731,NULL,NULL
51733,NULL,NULL
51736,NULL,NULL
51737,NULL,NULL
51738,NULL,NULL
51739,NULL,NULL
51740,NULL,NULL
51741,NULL,NULL
51742,NULL,NULL
51743,NULL,NULL
51745,NULL,NULL
51746,NULL,NULL
51751,NULL,NULL
51752,NULL,NULL
51753,NULL,NULL
51755,NULL,NULL
51757,NULL,NULL
51758,NULL,NULL
51762,NULL,NULL
51763,NULL,NULL
51764,NULL,NULL
51765,NULL,NULL
51766,NULL,NULL
51772,NULL,NULL
51774,NULL,NULL
51775,NULL,NULL
51776,NULL,NULL
51777,NULL,NULL
51780,NULL,NULL
51783,NULL,NULL
51784,NULL,NULL
51785,NULL,NULL
51787,12,1
51794,NULL,NULL
51796,NULL,NULL
51797,NULL,NULL
51798,NULL,NULL
51799,NULL,NULL
51800,NULL,NULL
51801,NULL,NULL
51802,NULL,NULL
51803,NULL,NULL
51804,NULL,NULL
51805,NULL,NULL
51806,NULL,NULL
51807,NULL,NULL
51808,NULL,NULL
51809,NULL,NULL
51810,NULL,NULL
51814,NULL,NULL
51815,NULL,NULL
51839,NULL,NULL
51840,NULL,NULL
51841,NULL,NULL
51846,NULL,NULL
51848,NULL,2
51849,12,1
51851,NULL,NULL
51855,NULL,NULL
51857,NULL,NULL
51858,NULL,NULL
51859,NULL,NULL
51860,NULL,NULL
51861,NULL,NULL
51862,NULL,NULL
51863,NULL,NULL
51864,NULL,NULL
51865,NULL,NULL
51866,NULL,NULL
51868,NULL,NULL
51871,NULL,NULL
51872,NULL,NULL
51879,12,1
51881,NULL,NULL
51882,NULL,NULL
51883,NULL,NULL
51894,NULL,NULL
51895,NULL,NULL
51897,NULL,NULL
51898,NULL,NULL
51899,NULL,NULL
51902,NULL,NULL
51903,NULL,NULL
51904,NULL,NULL
51905,NULL,NULL
51906,NULL,NULL
51914,NULL,NULL
51916,NULL,NULL
51917,NULL,NULL
51918,NULL,NULL
51919,NULL,NULL
51921,NULL,NULL
51923,NULL,NULL
51924,NULL,NULL
51925,NULL,NULL
51926,NULL,NULL
51927,NULL,NULL
51928,NULL,NULL
51929,NULL,NULL
51930,NULL,NULL
51936,12,1
51938,12,1
51939,12,1
51941,12,1
51945,12,1
51946,12,1
51947,NULL,NULL
51948,12,1
51949,12,1
51951,NULL,NULL
51952,NULL,NULL
51955,NULL,NULL
51957,NULL,NULL
51963,NULL,NULL
52002,NULL,NULL
52003,NULL,NULL
52008,NULL,2
52011,NULL,NULL
52012,NULL,NULL
52013,NULL,NULL
52014,NULL,NULL
52015,12,1
52018,NULL,NULL
52019,NULL,NULL
52020,NULL,NULL
52023,NULL,NULL
52024,NULL,NULL
52030,NULL,2
52031,NULL,2
52032,NULL,NULL
52072,NULL,NULL
52074,NULL,NULL
52075,NULL,NULL
52077,NULL,NULL
52081,NULL,2
52087,NULL,NULL
52115,NULL,NULL
52116,NULL,NULL
52117,NULL,NULL
52119,NULL,NULL
52125,NULL,NULL
52128,NULL,NULL
52129,NULL,NULL
52136,NULL,NULL
52142,NULL,NULL
52143,NULL,NULL
52144,NULL,NULL
52146,NULL,NULL
52166,NULL,2
52170,NULL,NULL
52178,NULL,NULL
52199,NULL,NULL
52220,12,1
52232,NULL,NULL
52233,NULL,NULL
52234,NULL,NULL
52237,NULL,NULL
52241,NULL,NULL
52243,NULL,NULL
52252,NULL,NULL
52253,NULL,NULL
52255,NULL,NULL
52284,0,2
52285,NULL,2
52286,NULL,2
52287,NULL,2
52288,NULL,2
52289,0,2
52290,NULL,NULL
52304,12,1
52305,12,1
52311,NULL,NULL
52326,NULL,NULL
52329,NULL,NULL
52342,NULL,NULL
52345,NULL,NULL
52349,NULL,NULL
52356,NULL,NULL
52357,NULL,NULL
52360,12,1
52363,NULL,NULL
52368,NULL,NULL
52372,NULL,NULL
52378,NULL,NULL
52379,NULL,NULL
52381,NULL,NULL
52383,NULL,NULL
52388,NULL,NULL
52390,NULL,NULL
52399,NULL,NULL
52402,NULL,NULL
52408,NULL,NULL
52409,NULL,NULL
52423,NULL,NULL
52424,NULL,NULL
52425,NULL,NULL
52426,NULL,NULL
52427,NULL,NULL
52428,NULL,NULL
52430,NULL,NULL
52433,NULL,NULL
52439,NULL,NULL
52441,NULL,NULL
52442,NULL,NULL
52443,NULL,NULL
52458,NULL,NULL
52459,NULL,NULL
52463,NULL,NULL
52467,NULL,NULL
52470,NULL,NULL
52473,NULL,NULL
52483,NULL,NULL
52487,NULL,NULL
52491,NULL,NULL
52492,NULL,NULL
52501,NULL,NULL
52504,NULL,NULL
52505,NULL,NULL
