Id,Code,PackingCode,PackingName,GroupCode,SubGroupCode,ProductTypeCode,ProductTypeName,IsGlobal,IsRegional,WarehouseUnbCode,WmsId,ZoneCountryId,WarehouseId,NewGroupCode,NewPackingCode,NewProductTypeCode,NewSubGroupCode,CatalogId,DisabledDate
--,----,-----------,-----------,---------,------------,---------------,---------------,--------,----------,----------------,-----,-------------,-----------,------------,--------------,------------------,---------------,---------,------------
1,NULL,1,HELADERA,100,1001,1,HELADERA,1,0,NULL,35b71d4e-85bb-41d9-9ee7-b07400c4c96f,NULL,NULL,100,1,1,1001,NULL,NULL
2,NULL,3,LATA 250,2,1,1,CERVEJA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,NULL,6,SEM EMBALAGEM,6,1,1,CERVEJA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,NULL,13,BARRIL KEG,6,1,1,CERVEJA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,NULL,17,Litrinho 300,1,3,1,Litrinho 300,1,0,NULL,a39753bd-0c26-4e7a-a292-b15300fe35d6,NULL,NULL,1,17,1,3,NULL,NULL
6,NULL,18,GARRAFA INTEIRA,1,1,1,CERVEJA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,NULL,20,LONG-NECK,4,1,1,CERVEJA,1,0,NULL,bef2d9b6-5225-4433-93af-b04200c740eb,NULL,NULL,4,20,1,1,NULL,NULL
8,NULL,21,ONE-WAY 250,4,1,1,CERVEJA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,NULL,22,ONE-WAY 300,4,1,1,CERVEJA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,NULL,32,LATA 355,2,2,1,CERVEJA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,NULL,38,LATA 473,2,4,1,CERVEJA             ,1,0,NULL,2437c06b-1373-4ad0-abd4-ac4db7b0aee6,NULL,NULL,2,38,1,4,NULL,NULL
12,NULL,40,ONE-WAY 500,4,1,1,CERVEJA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
