Id,Code,Description
--,----,-----------
0d16276d-2373-48ce-8c43-0121fbc69a34,235,MISTURA LACTEA CONDENSADA DE T
88789a69-d206-4c50-a2da-0181e1654771,237,OUTROS MATERIAIS DE PLASTICO D
dd27f285-f86b-4557-9dde-02b05828e921,28,ROLHA
853f6f5f-84fe-4447-9ad5-08747bfdce42,262,PISTACHE DE TERCEIROS
13b9630c-286f-4a7e-1679-08db2492311d,52,BEBIDA ALCOOLICA AROMATIZADA
2db3270b-a8aa-4ddc-167a-08db2492311d,96,CONHAQUE E BRANDY DE TERCEIROS
dcbf02e5-de7c-4a63-167b-08db2492311d,164,SUCO NECTAR DE TERCEIROS
071bf362-0d54-4f6d-1682-08db2492311d,196,GIFT PACK CERVEJA COM ALCOOL
e3984497-fa29-4216-1691-08db2492311d,176,SUCO CONCENTRADO DE TERCEIROS
c31cce4b-0efa-4f06-1694-08db2492311d,162,REFRESCO EM PO DE TERCEIROS
655ad2ac-e823-4ffc-16a2-08db2492311d,102,BEBIDA ICE DE TERCEIROS
f0fe977f-a812-434b-16a4-08db2492311d,1,CERVEJA COM ALCOOL
47347226-27c7-4f00-16a9-08db2492311d,107,GOMAS DE MASCAR DE TERCEIROS
46e5fb0e-7f22-46af-16ac-08db2492311d,106,GOMAS DE MASCAR SEM ACUCAR DE
5630d20e-1968-4eda-16af-08db2492311d,80,WHISKY DE TERCEIROS
104e30d6-1dd4-47bf-16b1-08db2492311d,58,SUCO INTEGRAL
71ace7f5-3e3e-401a-16b5-08db2492311d,79,GIN DE TERCEIROS
be07ec88-4423-486a-16b7-08db2492311d,165,AGUA DE COCO DE TERCEIROS
c9193b50-edeb-4e4a-16ba-08db2492311d,94,CACHACA DE TERCEIROS
cd3e8e63-7f76-4cc2-16bb-08db2492311d,224,AZEITE DE DENDE DE TERCEIROS
30ed1c43-f776-4c91-16bf-08db2492311d,149,CERVEGELA PLASTICA DE TERCEIRO
5cc07b9e-49bc-4026-16c4-08db2492311d,53,AGUA SABORIZADA
eebc5c21-e213-454d-16c6-08db2492311d,82,VINHO DE TERCEIROS
40e5a48b-7e0a-455a-16c9-08db2492311d,4,REFRIGERANTE
d71ab814-2e08-4b60-16ca-08db2492311d,95,RUM DE TERCEIROS
216425f3-e38d-49b6-16cb-08db2492311d,85,VODKA DE TERCEIROS
cf15836e-34aa-4f6c-16cd-08db2492311d,113,APERITIVOS AMARGOS E SIMILARES
a954c405-5003-4bd1-16cf-08db2492311d,115,TEQUILA DE TERCEIROS
c00cd9f4-90d2-4558-16d0-08db2492311d,120,OUTRAS BEBIDAS ALCOOLICAS DE T
c52f0397-c14d-4915-16d1-08db2492311d,110,MOVEIS DE PLASTICOS DE TERCEIR
fb9a73ba-5130-4101-16d2-08db2492311d,2,CERVEJA SEM ALCOOL
44c1f15c-c5f5-4a19-16d3-08db2492311d,112,LICOR DE TERCEIROS
f38853e5-606e-40ea-16d4-08db2492311d,146,SNACKS DE TERCEIROS
67c4555a-05a6-46aa-16d6-08db2492311d,57,SUCO 100
92a07693-506c-4e71-16d7-08db2492311d,163,SUCO 100 POR CENTO DE TERCEIRO
952af5c9-7fe3-41ee-16db-08db2492311d,209,ENCHIDOS E PRODUTOS SEMELHANTE
31b846e8-8313-43b6-16df-08db2492311d,136,OLEO DE SOJA DE TERCEIROS
d5169fe2-0c40-4803-16e0-08db2492311d,10,AGUA MINERAL
f5e967af-af2f-48b8-16e1-08db2492311d,59,AGUA DE COCO
5f9fa50e-6728-4e38-16e2-08db2492311d,56,SUCO NECTAR
6a0b3c38-2ed1-42cb-16e3-08db2492311d,60,CHA MATE
c9288b0d-e9fb-4f37-16e4-08db2492311d,175,SUCO MISTO DE TERCEIROS
57a0843c-c7ed-43b7-16e7-08db2492311d,142,AGUA E SAL E CREAM CRACKER DE
e0c2fa79-e90e-4025-16e8-08db2492311d,201,BATIDAS E SIMILARES DE TERCEIR
d398260a-1725-457c-16e9-08db2492311d,166,AGUA MINERAL COM GAS DE TERCEI
0a509faf-ea1a-40a4-16ea-08db2492311d,126,MAIONESE DE TERCEIROS
aa1dd8ff-8462-465f-16ec-08db2492311d,51,ENERGETICO DE TERCEIROS
01a15a7c-6bde-43ad-16f0-08db2492311d,108,BALAS E SEMELHANTES DE TERCEIR
c5bc3b9b-fc81-469e-16f3-08db2492311d,118,AMENDOIN DE TERCEIROS
61fe938b-9753-4698-16f4-08db2492311d,128,MOSTARDA DE TERCEIROS
ab2ef0f5-d7af-4e53-16f5-08db2492311d,16,ISOTONICO
aab0b3ad-0897-40fd-16f8-08db2492311d,105,VERMUTE E SIMILARES DE TERCEIR
5a337441-2586-493c-16fa-08db2492311d,98,AGUARDENTE DE TERCEIROS
c73e2a3d-b21f-4dd3-16fb-08db2492311d,177,GARRAFEIRA DE TERCEIROS
3b7603f6-c43d-46ff-16fe-08db2492311d,241,SHAMPOO DE TERCEIROS
d893a181-b371-4d39-16ff-08db2492311d,109,WAFFLES E WAFERS DE TERCEIROS
ddab1be1-5b00-469d-1700-08db2492311d,170,SARDINHA DE TERCEIROS
68a59320-110a-4bae-1701-08db2492311d,173,LEITE EM PO DE TERCEIROS
a35e33bb-d786-4c93-1703-08db2492311d,242,CONDICIONADOR DE TERCEIROS
cf900d77-c566-485e-1704-08db2492311d,103,VINHO
ac6a4ba2-49a4-49c0-1706-08db2492311d,137,AZEITE DE OLIVA DE TERCEIROS
8ea2d3c3-ad18-44e9-1707-08db2492311d,167,AGUA MINERAL SEM GAS DE TERCEI
d4249082-76ea-4177-1708-08db2492311d,90,LEITE UHT ZERO LACTOSE DE TERC
2a17a29c-bdda-4619-1709-08db2492311d,216,ESCOVAS DE DENTES DE TERCEIROS
51d5f47a-e574-4548-170a-08db2492311d,132,ARROZ NAO PARBOILIZADO DE TERC
2ec81b32-753c-4540-170b-08db2492311d,104,VINHO ESPUMANTE
de802d47-83df-44e7-170e-08db2492311d,134,FEIJAO CARIOCA DE TERCEIROS
da73eacf-2ab7-4ce8-170f-08db2492311d,245,CREME DENTAL DE TERCEIROS
068fe554-ef28-4364-1713-08db2492311d,145,RECHEADOS DE TERCEIROS
3c6da34c-21d1-4403-1714-08db2492311d,88,LEITE UHT SEMIDESNATADO DE TER
7cc83b1e-ab85-475b-1715-08db2492311d,156,ACUCAR REFINADO DE TERCEIROS
d44d1f92-b485-4c44-1716-08db2492311d,117,REFRESCO DE TERCEIROS
1ccb5004-c1cd-4e6d-1718-08db2492311d,47,ENERGETICO
55433d04-7a21-4929-1719-08db2492311d,285,DETERGENTE EM PO DE TERCEIROS
48396d56-1a0a-4e11-171a-08db2492311d,121,CAFE NAO DESCAFEINADO DE TERCE
788972e5-e2f0-400c-171b-08db2492311d,288,OUTROS PRODUTOS DE LIMPEZA DE
7c52404d-cb9e-460f-171c-08db2492311d,286,DESINFETANTE DE TERCEIROS
27a63d6d-610c-46fc-171d-08db2492311d,155,CREME DE LEITE DE TERCEIROS
f53b2b07-e070-449a-171e-08db2492311d,154,LEITE CONDENSADO DE TERCEIROS
11b68483-1718-49ae-1720-08db2492311d,143,MARIA E MAISENA DE TERCEIROS
ad114736-6162-40ef-1722-08db2492311d,172,BEBIDAS ALIMENTARES DE TERCEIR
489207c2-b143-4044-1723-08db2492311d,75,LATA
316c580e-83c3-494d-1724-08db2492311d,283,ESPONJAS, ESFREGOES E SEMELHAN
30d42719-86e5-44cf-1725-08db2492311d,199,XAROPE OU EXTRATO CONCENTRADO
8a01a2f9-d7f0-475b-1726-08db2492311d,228,VINAGRE DE TERCEIROS
53459c54-e173-48ae-1727-08db2492311d,135,FEIJAO PRETO DE TERCEIROS
ab90e818-3bf4-4649-1728-08db2492311d,281,AGUA SANITARIA DE TERCEIROS
2e3aab6c-2c90-4a92-1729-08db2492311d,191,CONDIMENTO E TEMPEROS DE TERCE
a07f10ba-06ec-47bc-172b-08db2492311d,297,ALIMENTO PRONTO PARA CONSUMO
4ac4edcf-a499-49c7-172c-08db2492311d,116,CATUABA DE TERCEIROS
09b3799f-43f6-47d6-172d-08db2492311d,144,AMANTEIGADOS DE TERCEIROS
8087b069-fa5f-4057-172e-08db2492311d,125,MOLHO DE TOMATE DE TERCEIROS
815b6c59-b24b-4232-172f-08db2492311d,129,ERVILHA DE TERCEIROS
bca12a54-b4e8-468a-1733-08db2492311d,89,LEITE UHT DESNATADO DE TERCEIR
560e9651-f4a8-4d9a-1734-08db2492311d,184,OUTRAS BEBIDAS NAO ALCOOLICAS
ae357c09-8fa9-4276-1737-08db2492311d,190,SALGADINHOS DE TERCEIROS
6212fbe0-d049-4b81-1738-08db2492311d,3,CHOPP
f5620039-d50a-469f-1739-08db2492311d,124,EXTRATO DE TOMATE DE TERCEIROS
2aa93665-d134-4a82-173a-08db2492311d,19,SUCO
dd2afe24-5a3c-4f87-173b-08db2492311d,97,SUCO INTEGRAL DE TERCEIROS
35958712-30aa-4d85-173c-08db2492311d,302,TOMATE SECOS DE TERCEIROS
1e33be0c-9627-47b5-173d-08db2492311d,68,SUCO MISTO
6f9b2322-5f07-49b7-173f-08db2492311d,280,ISOTONICO MKTPLACE DE TERCEIRO
5d58e899-d1ea-424b-1742-08db2492311d,147,SALGADOS DE TERCEIROS
6ca88198-13e4-4c63-1744-08db2492311d,151,COPOS E TACAS DE VIDROS DE TER
c20083ae-5244-416d-1745-08db2492311d,182,VINHOS FUTURE BEVS
0e470d21-6ab6-4d66-1747-08db2492311d,130,MILHO DOCE DE TERCEIROS
fad94df3-a5a5-4e26-1748-08db2492311d,127,KETCHUP DE TERCEIROS
7343564f-5fd0-4412-1749-08db2492311d,192,OUTRAS PREPARACOES E CONSERVAS
a1ef5e98-e10c-40c3-174b-08db2492311d,87,LEITE UHT INTEGRAL DE TERCEIRO
81a5638d-21a9-4ed2-174c-08db2492311d,171,OUTRAS PREPARACOES E CONSERVAS
9ee84c1a-a7bc-44e2-174d-08db2492311d,169,ATUM DE TERCEIROS
b1d1ba64-068e-40ba-174e-08db2492311d,119,SANGRIAS E COQUETEIS DE TERCEI
910ce93b-ca9b-471d-174f-08db2492311d,179,BATATA INHAME MANDIOCA FRITO D
7f4877c1-4aa8-4ef7-1750-08db2492311d,227,BATATA PRE COZIDA DE TERCEIROS
0e2993e3-7131-438f-1751-08db2492311d,222,SABONETE DE TERCEIROS
e8963612-d9b8-4cd2-1754-08db2492311d,294,ADOCANTES DE TERCEIROS
e1a2468c-66f3-4f10-1757-08db2492311d,249,AZEITONA DE TERCEIROS
b9485d2b-10a9-4283-1759-08db2492311d,180,OUTROS PRODUTOS MARKETPLACE DE
bd5744f6-a9ae-4142-175a-08db2492311d,17,CHA
72ce177d-01e1-4492-175b-08db2492311d,291,CERVEJA COM ALCOOL MKT PLACE D
49debaf0-5fc9-4cbd-175c-08db2492311d,289,PANO MULTIUSO DE TERCEIROS
e8d5817e-6dd4-421b-1761-08db2492311d,287,DETERGENTE LIQUIDO DE TERCEIRO
84154a75-fc76-47dc-1762-08db2492311d,274,MOVEIS DE MADEIRA DE TERCEIROS
fb3fb475-2b95-4658-1764-08db2492311d,225,SABONETE LIQUIDO DE TERCEIROS
046177f2-e2b9-4b22-1765-08db2492311d,208,GARRAFA DE VIDRO CERVEJA DE TE
f3765842-24a1-4d71-1766-08db2492311d,304,SUPLEMENTO ALIMENTARES DE TERC
9c032a04-6c6e-426f-1768-08db2492311d,240,DERIVADOS DE VODKA DE TERCEIRO
ac9f1ccd-38b0-41b2-1769-08db2492311d,265,QUEIJO DE TERCEIROS
91628a4f-c250-438c-176b-08db2492311d,122,FARINHA DE TRIGO DE TERCEIROS
bc6bdcde-a219-4e41-176d-08db2492311d,308,AMACIANTE SUAVIZANTE DE TERCEI
d036e0a1-15b6-4950-176f-08db2492311d,275,BARRIL DE CHOPP DE TERCEIROS
9d272a0f-9ebd-4c0b-1770-08db2492311d,193,MACARRAO COM OVOS DE TERCEIROS
4689416b-bb33-40f8-1771-08db2492311d,273,QUEIJO MUSSARELA DE TERCEIROS
22975263-daf4-4bf8-1772-08db2492311d,278,MANTEIGA DE TERCEIROS
5b733005-a584-4d30-1773-08db2492311d,211,OUTRAS PREP CONSERV AVES DE TE
0adf15b8-ca6f-4872-1775-08db2492311d,229,ACUCAR MASCAVO DE TERCEIROS
46830581-86cb-43bb-1776-08db2492311d,219,DESODORANTE/OUTROS DESOD CORPO
6d94dad1-aed4-4102-1778-08db2492311d,213,OUTRAS PREPARACOES ALIMENTICIA
f1df0993-8773-4a32-1779-08db2492311d,230,CASTANHA DE CAJU DE TERCEIROS
510f49f5-7540-4ecc-177c-08db2492311d,131,BEBIDA ALCOOLICA MISTA DE TERC
1c91705b-154c-4c63-177d-08db2492311d,207,OUTROS BISCOITOS E BOLACHAS DE
cd56c26d-9559-4716-177e-08db2492311d,202,BOMBOM, CARAMELOS E CONFEITOS
e3d72022-fed4-4569-177f-08db2492311d,309,ALCOOL EM GEL DE TERCEIROS
4f94f1b1-43b9-47a0-1780-08db2492311d,290,SANGRIAS E COQUETEIS
