Id,Side,Number,BaySize,VehicleId,VehicleBayIdLegacy
--,----,------,-------,---------,------------------
1,0,1,42,150491,1ed99ca8-b651-4f6f-a0e7-b0a801132065
2,0,2,42,150491,0b50872c-4fd1-4bb1-981a-b0a801132069
3,0,3,42,150491,c59ec492-a31d-4c6c-865b-b0a801132069
4,0,4,42,150491,c0ff15a7-4a20-42a5-9628-b0a801132069
5,0,5,42,150491,b851f257-b744-482d-903c-b0a801132069
6,0,6,42,150491,529f6392-4387-4f2d-8c2c-b0a801132069
7,0,7,42,150491,92dbf048-89b3-4fd6-90fb-b0a801132069
8,0,8,42,150491,e12fa3ed-fb61-4d94-b800-b0a801132069
9,0,9,42,150491,294ed27b-8d1b-4d78-b468-b0a801132069
10,0,10,42,150491,8af9c796-5a1f-40ca-ae3d-b0a801132069
11,0,11,42,150491,e842e516-d204-46eb-b3e9-b0a801132069
12,0,12,42,150491,9f455cba-6b31-406c-aa71-b0a801132069
13,0,13,42,150491,4b80a8ec-db85-4ead-b30f-b0a801132069
14,0,14,42,150491,9bc9f941-886d-4e42-8b44-b0a801132069
15,0,15,42,150491,c9995e5b-7b89-4791-95a0-b0a801132069
16,0,16,42,150491,8a34ae2e-a82b-4176-9731-b0a801132069
17,0,17,42,150491,194f569c-e4f8-4e3f-b41c-b0a801132069
18,0,18,42,150491,003a836a-abcf-408b-af0b-b0a801132069
19,0,19,42,150491,055668db-44e6-4ea8-9ceb-b0a801132069
20,0,20,42,150491,06e343cc-6628-4812-ab03-b0a801132069
21,0,21,42,150491,a38eeccf-ee6a-4762-b501-b0a801132069
22,1,1,42,150491,5a18240c-8858-4ab6-974a-b0a801132069
23,1,2,42,150491,2d476a5c-62a9-435f-8f03-b0a801132069
24,1,3,42,150491,3e066ae2-86df-4dd5-a2b4-b0a801132069
25,1,4,42,150491,b6f48291-0dd7-45d0-846f-b0a801132069
26,1,5,42,150491,8636677f-8dc9-4e60-9415-b0a801132069
27,1,6,42,150491,17303020-33a8-4834-bc62-b0a801132069
28,1,7,42,150491,8e2c6fb6-596f-42d7-90da-b0a801132069
29,1,8,42,150491,7129b904-3686-4132-9d20-b0a801132069
30,1,9,42,150491,03518c70-96df-43bb-87f2-b0a801132069
31,1,10,42,150491,2571f494-9c1d-4613-8b76-b0a801132069
32,1,11,42,150491,68808359-8e3e-4ee3-931c-b0a801132069
33,1,12,42,150491,a64429b5-4dc3-48ad-b5ac-b0a801132069
34,1,13,42,150491,c84f5a61-5391-4013-8afd-b0a801132069
35,1,14,42,150491,f1588538-510a-4988-8db7-b0a801132069
36,1,15,42,150491,964f735a-c1d3-4303-8c7d-b0a801132069
37,1,16,42,150491,35ca67f1-262c-4135-b633-b0a801132069
38,1,17,42,150491,3bfd2683-646a-493c-b35a-b0a801132069
39,1,18,42,150491,3ba44d0d-937b-4f72-9bf2-b0a801132069
40,1,19,42,150491,c57179fa-439e-45d3-a433-b0a801132069
41,1,20,42,150491,88b716f8-1631-4e94-9ed7-b0a801132069
42,1,21,42,150491,642f03e4-826c-4b87-adb7-b0a801132069
43,0,1,42,161555,NULL
44,0,2,42,161555,NULL
45,0,3,42,161555,NULL
46,0,4,42,161555,NULL
47,0,5,42,161555,NULL
48,0,6,42,161555,NULL
49,0,7,42,161555,NULL
50,0,8,42,161555,NULL
51,0,9,42,161555,NULL
52,0,10,42,161555,NULL
53,0,11,42,161555,NULL
54,0,12,42,161555,NULL
55,0,13,42,161555,NULL
56,0,14,42,161555,NULL
57,1,1,42,161555,NULL
58,1,2,42,161555,NULL
59,1,3,42,161555,NULL
60,1,4,42,161555,NULL
61,1,5,42,161555,NULL
62,1,6,42,161555,NULL
63,1,7,42,161555,NULL
64,1,8,42,161555,NULL
65,1,9,42,161555,NULL
66,1,10,42,161555,NULL
67,1,11,42,161555,NULL
68,1,12,42,161555,NULL
69,1,13,42,161555,NULL
70,1,14,42,161555,NULL
71,0,1,42,161569,NULL
72,0,2,42,161569,NULL
73,0,3,42,161569,NULL
74,0,4,42,161569,NULL
75,0,5,42,161569,NULL
76,0,6,42,161569,NULL
77,0,7,42,161569,NULL
78,0,8,42,161569,NULL
79,0,9,42,161569,NULL
80,0,10,42,161569,NULL
81,0,11,42,161569,NULL
82,0,12,42,161569,NULL
83,0,13,42,161569,NULL
84,0,14,42,161569,NULL
85,1,1,42,161569,NULL
86,1,2,42,161569,NULL
87,1,3,42,161569,NULL
88,1,4,42,161569,NULL
89,1,5,42,161569,NULL
90,1,6,42,161569,NULL
91,1,7,42,161569,NULL
92,1,8,42,161569,NULL
93,1,9,42,161569,NULL
94,1,10,42,161569,NULL
95,1,11,42,161569,NULL
96,1,12,42,161569,NULL
97,1,13,42,161569,NULL
98,1,14,42,161569,NULL
127,0,10,42,161603,1bdd2c12-850e-4f37-8248-b2f500f93007
128,1,6,42,161603,4084efd7-f046-4d8d-87fb-b2f500f93007
129,0,12,42,161603,125bd82e-e977-48c7-8857-b2f500f93007
130,0,9,42,161603,53874546-80cd-4137-8a3c-b2f500f93007
131,1,4,42,161603,d048b302-6084-424d-8cdc-b2f500f93007
132,0,2,42,161603,2727c180-eec9-41e7-92ee-b2f500f93007
133,1,3,42,161603,535dd9ed-ca7f-45e2-934a-b2f500f93007
134,1,10,42,161603,ad8c6831-c8d0-42c3-9412-b2f500f93007
135,1,1,42,161603,8f43a35b-5814-4a6c-95c0-b2f500f93007
