Descrição;Placa do Veículo;Última Quilometragem;Quantidade de Baias;Tamanho da baia;Perfil do veículo;Tipo do veículo;Transportadora;Baias Personalizadas
0401;RTN6J99;1234;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;RTE9B80;35;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;EEF6I38;0;2;42;Freteiro;;TRANSPORTES IMEDIATO LTDA;Não
0401;BZR7D96;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;RLJ8C67;0;12;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;QTJ3I36;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;CUK1D04;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;FEE1I63;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;FDC5H07;8888;6;35;Freteiro;;TRANSPORTES IMEDIATO LTDA;Não
0401;FYF9B61;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;FYF9B51;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;GIP9A32;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;CDM0F16;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;FUZ6H62;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;GBP3A57;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;DVT9540;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;GFB3F74;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;FPH7I31;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;DSI2C32;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;ENU8D28;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;DTD5029;12;6;35;Freteiro;;TRANSPORTES IMEDIATO LTDA;Não
0401;ELW1I07;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;ELW1L07;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;FBG2H07;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;CDC3D39;0;28;42;Frota Fixa;;Transportadora Stivaletti;Não
0401;CDB3D39;0;28;42;Frota Fixa;;Transportadora Stivaletti;Não
0401;CSB3D89;0;28;42;Frota Fixa;;Transportadora Stivaletti;Não
0401;BQU1B16;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;DSX1G98;35;6;35;Freteiro;;TRANSPORTES IMEDIATO LTDA;Não
0401;FRG5991;68;6;35;Freteiro;;TRANSPORTES IMEDIATO LTDA;Não
0401;FHH2D03;58386;6;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;CUG2323;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;FVZ6H26;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;FVZ6H62;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;DSI9C32;0;32;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;GEF7J28;35;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;BXZ5G35;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;FWS6E95;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;RTO2J75;36;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;RTN6J94;36;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;RMY2E13;33;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
MASTER;RNH1A18;36;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;RMY2E31;86;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;RMY2E00;0;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
Coopermarq;BTA2D70;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;RHQ2H02;5555;6;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;GKB3J40;0;6;35;Freteiro;;TRANSPORTES IMEDIATO LTDA;Não
0401;GEF7J82;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;BZA8614;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;GDW1230;0;4;42;Frota Fixa;;LOG20 Logística LTDA;Não
0401;REC0011;51;6;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;CQU6307;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;EUQ6307;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;ECV4H22;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;GKI6717;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;RZG4F47;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;FIE1D76;59389;6;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;GBN9F79;0;10;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;RUR5F99;36;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;RUR5G05;36;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
DAILY;RTN6J96;1234;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
DAILY JK;RTN6J95;36;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
MASTER;RUQ7J99;36;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;ETO4472;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;FQO0B27;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;FQO8B27;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;EKH7636;0;28;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;FIY6298;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;FIY6289;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;EDJ7123;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;CVP8G46;0;28;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;FJD4D56;12;2;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;FUX0F41;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;EQH8662;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;CBL2E31;33;8;42;Freteiro;;TRANSPORTES IMEDIATO LTDA;Não
0401;FYI8B74;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;CRP9G92;35;16;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;DEW8J25;28658;10;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;FPH1J61;35;16;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;FCV9J11;55555;16;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;FYL6A91;35;16;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;FOO9B34;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;FSU0G87;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;EDJ7I23;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;DOO1B42;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;BSX3A65;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;AAA0000;0;28;42;Frota Fixa;;LOG20 Logística LTDA;Não
0401;AAA0001;0;28;42;Frota Fixa;;Ambev;Não
0401;AAA1111;0;28;42;Frota Fixa;;Ambev;Não
0401;AAA1122;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;AAA1A11;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;AAA2A22;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
CARRETA EMPURRADA;ABC1234;0;44;42;Frota Fixa;;Ambev;Não
0401;ABC2244;0;28;42;Frota Fixa;;Ambev;Não
0401;ABC7A83;0;28;42;Frota Fixa;;Ambev;Não
0401;ABC9871;0;6;42;Frota Fixa;;Ambev;Não
0401;ABC9874;0;6;42;Frota Fixa;;Ambev;Não
0401;ACC2C22;0;28;42;Frota Fixa;;LOG20 Logística LTDA;Não
0401;AFH2K21;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;AFH2K31;0;28;42;Frota Fixa;;Ambev;Não
0401;AGD0S00;0;28;42;Frota Fixa;;Ambev;Não
0401;AGU0037;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;AHB8H87;36;2;42;Freteiro;;Transportes Imediato Ltda - Embu;Não
0401;AJC4I89;0;28;42;Frota Fixa;;Ambev;Não
0401;AJG3E43;0;28;42;Frota Fixa;;Ambev;Não
0401;ALM0519;0;28;42;Frota Fixa;;Ambev;Não
DUCATO;ALQ6A64;85556;2;42;Freteiro;;Transportes Imediato Ltda - Embu;Não
0401;AMK2E88;0;14;42;Frota Fixa;;Ambev;Não
0401;ANA0001;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0002;0;6;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;ANA0003;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0004;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0005;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0006;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0007;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0008;0;6;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0401;ANA0009;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0010;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0011;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0012;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0013;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0014;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0015;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0016;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0017;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0018;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0019;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0096;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0097;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0098;0;6;42;Frota Fixa;;Ambev;Não
0401;ANA0099;0;6;42;Frota Fixa;;Ambev;Não
0401;ANL4I04;0;6;42;Frota Fixa;;Ambev;Não
0401;ASE9854;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;ASQ9628;0;28;42;Frota Fixa;;Ambev;Não
0401;ASR3258;0;28;42;Frota Fixa;;Ambev;Não
0401;AST4C29;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;ATY0879;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;AUL6766;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;AUW9388;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;AVD1363;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;AVM7635;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;AVQ6431;0;28;42;Frota Fixa;;Ambev;Não
0401;AWD9A27;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;AWG0215;0;44;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;AWH0C26;0;28;42;Frota Fixa;;Ambev;Não
0401;AWO2242;0;28;42;Frota Fixa;;Ambev;Não
0401;AWQ7F94;35;6;35;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0401;AWQ7G94;35;6;35;Freteiro;;TRANSPORTES IMEDIATO LTDA;Não
0401;AWQ7G95;35;6;42;Freteiro;;Transportes Imediato Ltda - Embu;Não
0401;AXX0161;36;2;42;Freteiro;;TRANSPORTES IMEDIATO LTDA;Não
carreta;AYQ5090;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;AYQ5093;0;28;42;Frota Fixa;;Ambev;Não
0401;AZI8834;0;28;42;Frota Fixa;;Ambev;Não
0401;BAA1451;0;28;42;Frota Fixa;;Ambev;Não
0401;BAB2C37;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
CARRETA EMPURRADA;BAS8849;0;28;42;Frota Fixa;;Ambev;Não
CSC INVOICE;BAT2020;0;8;42;Frota Fixa;;BATCH BRINDES DISTR. E LOGiSTICA LTDA;Não
CARRETA EMPURRADA;BBL7166;0;28;42;Frota Fixa;;Ambev;Não
0401;BBM6126;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;BBP3993;0;28;42;Frota Fixa;;Ambev;Não
0401;BBQ9440;0;28;42;Frota Fixa;;Ambev;Não
0401;BBQ9443;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;BBS9433;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;BBS9462;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;BBS9472;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;BBW5855;0;28;42;Frota Fixa;;Ambev;Não
0401;BCM3206;0;28;42;Frota Fixa;;Ambev;Não
0401;BCM3215;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;BCM3221;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;BCM3240;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;BCM8662;0;28;42;Frota Fixa;;Ambev;Não
0401;BCM8664;0;28;42;Frota Fixa;;Ambev;Não
0401;BCN9A04;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;BCR9G26;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
CARRETA EMPURRADA;BCT5A76;0;28;42;Frota Fixa;;Ambev;Não
0401;BCW8E60;0;28;42;Frota Fixa;;Ambev;Não
0401;BCW8G60;0;28;42;Frota Fixa;;Ambev;Não
0401;BCW8G61;0;28;42;Frota Fixa;;Ambev;Não
0401;BCW8G62;0;28;42;Frota Fixa;;Ambev;Não
0401;BCW9G60;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;BCZ6I13;0;28;42;Frota Fixa;;Ambev;Não
0401;BCZ6I14;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;BCZ9H66;0;28;42;Frota Fixa;;Ambev;Não
0401;BDC1A19;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;BDD1D62;58585;28;42;Frota Fixa;;Ambev;Não
0401;BDD2F22;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;BDD5D84;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;BDD5D85;0;28;42;Frota Fixa;;Ambev;Não
0401;BDD5D86;0;28;28;Frota Fixa;;TRANSPORTADORA VERDES CAMPOS LTDA;Não
0401;BDD5H84;0;28;42;Frota Fixa;;Ambev;Não
0401;BDE6E19;0;28;42;Frota Fixa;;Ambev;Não
0401;BDF7C14;0;28;42;Frota Fixa;;Ambev;Não
0401;BDH7G96;0;28;42;Frota Fixa;;Ambev;Não
0401;BDK9191;0;28;42;Frota Fixa;;Ambev;Não
0401;BDK9I91;0;28;42;Frota Fixa;;Ambev;Não
0401;BDM4J17;0;28;42;Frota Fixa;;Ambev;Não
0401;BDM7B90;0;28;42;Frota Fixa;;Ambev;Não
carreta;BDN9D17;0;28;42;Frota Fixa;;Ambev;Não
carreta;BDP3D54;0;28;42;Frota Fixa;;IMEDIATO ORGANIZACAO LOG TRANSPORTES LTD;Não
0401;BDS9E10;0;2;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0401;BDW6I29;0;28;42;Frota Fixa;;Ambev;Não
0401;BDX4J75;0;28;42;Frota Fixa;;Ambev;Não
0401;BDX6C14;0;28;42;Frota Fixa;;Ambev;Não
0401;BDY3A53;0;28;42;Frota Fixa;;Ambev;Não
0401;BDZ2A13;0;28;42;Frota Fixa;;Ambev;Não
0401;BDZ2A31;0;28;42;Frota Fixa;;Ambev;Não
0401;BDZ2C94;0;28;42;Frota Fixa;;Ambev;Não
CARRETA EMPURRADA;BDZ2C95;0;28;42;Frota Fixa;;Ambev;Não
0401;BDZ3F86;0;28;42;Frota Fixa;;Ambev;Não
0401;BDZ9F28;0;28;42;Frota Fixa;;Ambev;Não
0401;BDZ9F30;0;28;42;Frota Fixa;;Ambev;Não
0401;BEA6F04;0;28;42;Frota Fixa;;Ambev;Não
0401;BEB2J17;0;28;42;Frota Fixa;;Ambev;Não
0401;BEC4B23;0;28;42;Frota Fixa;;Ambev;Não
0401;BEC4F61;0;28;42;Frota Fixa;;Ambev;Não
0401;BED3B69;0;28;42;Frota Fixa;;Ambev;Não
0401;BEE3G26;0;28;42;Frota Fixa;;Ambev;Não
0401;BEG0G49;0;28;42;Frota Fixa;;Ambev;Não
0401;BEG1H89;0;28;42;Frota Fixa;;Ambev;Não
0401;BEG2G92;0;28;42;Frota Fixa;;Ambev;Não
0401;BEG9F67;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;BEH3F96;0;28;42;Frota Fixa;;Ambev;Não
0401;BET9E05;0;28;42;Frota Fixa;;Ambev;Não
0401;BET9E50;0;28;42;Frota Fixa;;Ambev;Não
0401;BEY5231;0;28;42;Frota Fixa;;Ambev;Não
0401;BFG4551;0;28;42;Frota Fixa;;Ambev S/A CDD - São Paulo;Não
0401;BGU2G55;0;28;42;Frota Fixa;;Transportes Imediato Ltda;Não
0401;BHP5I04;0;6;42;Frota Fixa;;Ambev;Não
0401;BHW2A55;0;28;42;Frota Fixa;;Ambev;Não
0401;BIT0001;35;16;42;Frota Fixa;;TRANSPORTES IMEDIATO LTDA;Não
0401;BIT0002;3521;16;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0401;BIT0003;0;16;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0401;BIT0004;54;16;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0401;BIT0005;0;16;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0401;BIT0006;0;16;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
