Id,LegacyWarehouseId,AllowNegativeStock,IsFactory,Name,UnbCode,ShortCode,CodeOcp,LegacyUnbCode,Active,ZoneCountryId,CatalogId
--,-----------------,------------------,---------,----,-------,---------,-------,-------------,------,-------------,---------
120,NULL,0,0,(Desativado) CDD Ipatinga - IA,45_old,045,0030045,NULL,0,NULL,NULL
121,NULL,0,0,(Desativado) CDD Nova Iguaçu - IG,61_old,061,0030061,NULL,0,NULL,NULL
122,3a700d8f-d3a8-4e58-a8a0-a68000ce44e5,0,0,CDC Itumbiara - IB,77,077,0030077,NULL,1,NULL,8
123,NULL,0,0,(Desativado) CDD Volta Redonda - VO,81_old,081,0030081,NULL,0,NULL,NULL
124,2042e330-46b6-4e3a-86ad-a60f00a933b1,0,0,CDD Gravatai - GI,82,082,0030082,NULL,1,NULL,2
125,NULL,0,0,(Desativado) CDD Bebedouro - BO,83_old,083,0030083,NULL,0,NULL,NULL
126,NULL,0,0,(Desativado) CDD Nova Friburgo - FR,85_old,085,0030085,NULL,0,NULL,NULL
127,NULL,0,0,(Desativado) CDD Petropolis - PZ,86_old,086,0030086,NULL,0,NULL,NULL
128,4d2c0b7e-1fa3-497a-9ec0-a5bd00ad974d,0,0,CDD Litoral - LT,137,137,0030137,NULL,1,NULL,2
129,NULL,0,0,(Desativado) CDD Joao Monlevade - JM,186_old,186,0030186,NULL,0,NULL,NULL
130,86f6b461-4ce0-463a-999c-a62b010d502a,1,0,CDD-Sete Lagoas,189,BRCB,1,189,1,NULL,2
131,NULL,0,0,(Desativado) CDD Sta Maria - SN,190_old,190,0030190,NULL,0,NULL,NULL
132,NULL,0,0,(Desativado) CDD S J Pinhais - PB,209_old,209,0030209,NULL,0,NULL,NULL
133,d170f325-b878-43f9-9d0f-a63900f82ceb,0,0,CDD Itapipoca - JE ,252,252,0030252,NULL,1,NULL,2
134,NULL,0,0,(Desativado) CDD Barreiras - BI,295_old,295,0030295,NULL,0,NULL,NULL
135,483961eb-1f13-4510-b4db-a5cc00e8b920,0,0,CDD-Suzano,297,BRD3,01,297,1,NULL,2
