Id;WarehouseId;WarehouseUnbCode;WarehouseName;MapType;Type;Value;GenericValue;;;;;;
1;272;1999_old;(Desativado) CDD-ZHB;0;0;0;False;;;;;;
2;272;1999_old;(Desativado) CDD-ZHB;1;0;0;False;;;;;;
3;272;1999_old;(Desativado) CDD-ZHB;2;0;0;False;;;;;;
4;272;1999_old;(Desativado) CDD-ZHB;3;0;0;False;;;;;;
5;272;1999_old;(Desativado) CDD-ZHB;0;1;0;False;;;;;;
6;272;1999_old;(Desativado) CDD-ZHB;1;1;0;False;;;;;;
7;272;1999_old;(Desativado) CDD-ZHB;2;1;0;False;;;;;;
8;272;1999_old;(Desativado) CDD-ZHB;3;1;0;False;;;;;;
9;470;348;CDD-Cascavel;0;0;0;true;;;;;;
10;470;348;CDD-Cascavel;1;0;0;true;;;;;;
11;470;348;CDD-Cascavel;2;0;0;true;;;;;;
12;470;348;CDD-Cascavel;3;0;0;False;;;;;;
13;470;348;CDD-Cascavel;0;1;0;true;;;;;;
14;470;348;CDD-Cascavel;1;1;0;False;;;;;;
15;470;348;CDD-Cascavel;2;1;0;False;;;;;;
16;470;348;CDD-Cascavel;3;1;0;False;;;;;;
17;320;401;CDD São Paulo;0;0;0;true;;;;;;
18;320;401;CDD São Paulo;1;0;0;False;;;;;;
19;320;401;CDD São Paulo;2;0;0;false;;;;;;
20;320;401;CDD São Paulo;3;0;0;False;;;;;;
21;320;401;CDD São Paulo;0;1;0;true;;;;;;
22;320;401;CDD São Paulo;1;1;0;False;;;;;;
23;320;401;CDD São Paulo;2;1;0;False;;;;;;
24;320;401;CDD São Paulo;3;1;0;False;;;;;;
25;429;180;CDD-Feira de Santana;0;0;0;true;;;;;;
26;429;180;CDD-Feira de Santana;1;0;0;true;;;;;;
27;429;180;CDD-Feira de Santana;2;0;0;true;;;;;;
28;429;180;CDD-Feira de Santana;3;0;0;False;;;;;;
29;429;180;CDD-Feira de Santana;0;1;0;true;;;;;;
30;429;180;CDD-Feira de Santana;1;1;0;False;;;;;;
31;429;180;CDD-Feira de Santana;2;1;0;False;;;;;;
32;429;180;CDD-Feira de Santana;3;1;0;False;;;;;;
33;450;762;CDL-Ceara;0;0;0;true;;;;;;
34;450;762;CDL-Ceara;1;0;0;false;;;;;;
35;450;762;CDL-Ceara;2;0;0;false;;;;;;
36;450;762;CDL-Ceara;3;0;0;False;;;;;;
37;450;762;CDL-Ceara;0;1;0;true;;;;;;
