Descrição;Placa do Veículo;Última Quilometragem;Quantidade de Baias;Tamanho da baia;Perfil do veículo;Tipo do veículo;Transportadora;Baias Personalizadas
0764;BYQ8E56;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
201808;201808;0;28;42;Frota Fixa;;Fabio Alves da Silveira;Não
201813;201813;51455;28;42;Frota Fixa;;Fabio Alves da Silveira;Não
FF 08 BAIAS de 42 e 02 BAIAS de 35 cx;4961;0;10;42;Frota Fixa;;Fabio Alves da Silveira;Não
empurrada;90046;0;28;28;Frota Fixa;;Fabio Alves da Silveira;Não
carreta;AAA1010;0;26;42;Freteiro;;Ambev;Não
0764;AAA2280;0;28;42;Frota Fixa;;Ambev;Não
ABC0014;ABC0014;1;12;42;Frota Fixa;;Fabio Alves da Silveira;Não
0764;ABO8222;0;28;42;Frota Fixa;;Ambev;Não
;ACM2678;0;18;42;Frota Fixa;;Fabio Alves da Silveira;Não
0764;AFL9988;0;12;42;Freteiro;;Ambev;Não
CARRETA;AJE1042;0;26;42;Freteiro;;Ambev;Não
0764;AJH0584;0;28;42;Frota Fixa;;Ambev;Não
CARRETA;AKA4537;2222;20;42;Frota Fixa;;Fabio Alves da Silveira;Não
CARRETA;AKP4715;0;42;42;Freteiro;;Ambev;Não
CSC INVOICE;ALE2019;0;8;42;Frota Fixa;;Alexandre Almeida Bastos EIRELI;Não
CSC INVOICE;ALE2020;0;8;42;Frota Fixa;;Alexandre Almeida Bastos EIRELI;Não
;ALE9335;0;18;42;Frota Fixa;;Fabio Alves da Silveira;Não
CDDGUARULHOS;ALL9477;55555555;28;42;Frota Fixa;;Fabio Alves da Silveira;Não
0764;AMT0001;0;28;42;Frota Fixa;;Ambev;Não
FIORINO;ANL4I04;655;2;42;Freteiro;;PDV POSITIVA LOGISTICA E TRANSPORTE EIRE;Não
0764;ANS00008;500000;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;ANS0001;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;ANS0002;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;ANS0010;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;ANS1818;0;28;42;Frota Fixa;;Ambev;Não
0764;ANS2021;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;ANS2022;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;ANS2023;0;28;42;Frota Fixa;;Ambev;Não
0764;ANS2024;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;ANS2124;0;28;42;Frota Fixa;;TAIPASTUR TRANSPORTES TURISTICOS LTD;Não
0764;ANS2520;0;28;42;Frota Fixa;;Ambev;Não
